"Iteration","Blue_Path_Total_Gaps_Sum","Positions_1_Min_Total_Gaps_Sum","Positions_5_Min_Total_Gaps_Sum","Blue_Path_Residency_Time","Positions_1_Min_Residency_Time","Positions_5_Min_Residency_Time"
189,0,0,0,86400,1440,289
190,0,0,15,86400,1425,289
191,63681,218,1076,22719,364,71
192,20200,0,390,66200,1050,289
193,0,0,0,86400,1440,289
194,43473,145,788,42927,652,144
195,45156,127,911,41244,529,162
196,58520,162,1062,27880,378,127
197,3800,0,151,82600,1289,289
198,46069,105,925,40331,515,184
199,12193,0,358,74207,1082,289
200,31722,109,529,54678,911,180
201,9788,0,237,76612,1203,289
202,0,0,45,86400,1395,289
203,9723,0,315,76677,1125,289
204,8780,0,191,77620,1249,289
205,11330,0,375,75070,1065,289
206,6289,0,199,80111,1241,289
207,21433,81,400,64967,1040,208
208,0,0,0,86400,1440,289
209,12672,0,268,73728,1172,289
210,74575,250,1311,11825,129,39
211,44802,150,750,41598,690,139
212,8527,0,162,77873,1278,289
213,57635,204,1020,28765,420,85
214,13738,0,310,72662,1130,289
215,0,0,0,86400,1440,289
216,0,0,84,86400,1356,289
217,47658,160,844,38742,596,129
218,17306,74,377,69094,1063,215
219,0,0,0,86400,1440,289
220,0,0,0,86400,1440,289
221,22962,64,416,63438,1024,225
222,0,0,69,86400,1371,289
223,51130,138,856,35270,584,151
224,0,0,0,86400,1440,289
225,0,0,0,86400,1440,289
226,62649,187,1088,23751,352,102
227,41599,139,694,44801,746,150
228,20008,0,613,66392,827,289
229,44283,148,766,42117,674,141
230,0,0,0,86400,1440,289
231,50312,168,839,36088,601,121
232,26317,69,504,60083,936,220
233,41324,139,691,45076,749,150
234,24150,64,462,62250,978,225
235,0,0,59,86400,1381,289
236,74411,257,1307,11989,133,32
237,16480,72,385,69920,1055,217
238,23462,64,398,62938,1042,225
239,26890,0,491,59510,949,289
240,0,0,53,86400,1387,289
241,44540,101,857,41860,583,188
242,29639,68,541,56761,899,221
243,25784,97,509,60616,931,192
244,0,0,57,86400,1383,289
245,0,0,0,86400,1440,289
246,0,0,64,86400,1376,289
247,69337,246,1195,17063,245,43
248,79626,267,1328,6774,112,22
249,17678,66,515,68722,925,223
250,65728,220,1098,20672,342,69
251,56587,196,944,29813,496,93
252,48008,164,808,38392,632,125
253,48532,69,1014,37868,426,220
254,56213,200,1037,30187,403,89
255,0,0,0,86400,1440,289
256,36727,124,614,49673,826,165
257,73220,245,1224,13180,216,44
258,58333,196,1040,28067,400,93
259,70378,235,1176,16022,264,54
260,44092,163,896,42308,544,126
261,40463,135,675,45937,765,154
262,53917,182,941,32483,499,107
263,0,0,0,86400,1440,289
264,65370,222,1110,21030,330,67
265,15043,0,312,71357,1128,289
266,6835,0,135,79565,1305,289
267,23064,73,584,63336,856,216
268,59087,173,1149,27313,291,116
269,8036,0,137,78364,1303,289
270,34828,0,608,51572,832,289
271,38348,117,782,48052,658,172
272,28952,109,553,57448,887,180
273,12741,0,350,73659,1090,289
274,34343,116,574,52057,866,173
275,0,0,0,86400,1440,289
276,0,0,19,86400,1421,289
277,12347,0,221,74053,1219,289
278,32488,110,577,53912,863,179
279,0,0,0,86400,1440,289
280,28740,99,588,57660,852,190
281,60500,169,1113,25900,327,120
282,36172,67,757,50228,683,222
283,11472,0,239,74928,1201,289
284,0,0,0,86400,1440,289
285,30680,103,513,55720,927,186
286,27737,98,514,58663,926,191
287,25477,89,426,60923,1014,200
288,61962,155,1086,24438,354,134
289,0,0,144,86400,1296,289
290,60470,204,1013,25930,427,85
291,10061,0,273,76339,1167,289
292,37085,93,622,49315,818,196
293,25009,84,488,61391,952,205
294,24909,85,419,61491,1021,204
295,0,0,17,86400,1423,289
296,34196,131,648,52204,792,158
297,20920,0,352,65480,1088,289
298,26552,0,476,59848,964,289
299,66602,228,1158,19798,282,61
300,0,0,0,86400,1440,289
301,10158,0,289,76242,1151,289
302,0,0,15,86400,1425,289
303,40514,125,731,45886,709,164
304,46457,135,943,39943,497,154
305,0,0,13,86400,1427,289
306,8659,0,216,77741,1224,289
307,19777,68,363,66623,1077,221
308,17201,60,326,69199,1114,229
309,18194,70,311,68206,1129,219
310,23521,62,459,62879,981,227
311,68386,231,1142,18014,298,58
312,23068,65,483,63332,957,224
313,14180,0,380,72220,1060,289
314,0,0,337,86400,1103,289
315,29074,97,486,57326,954,192
316,0,0,119,86400,1321,289
317,59710,180,1058,26690,382,109
318,14814,0,362,71586,1078,289
319,71956,248,1227,14444,213,41
320,37724,86,665,48676,775,203
321,52699,176,930,33701,510,113
322,47811,162,802,38589,638,127
323,0,0,114,86400,1326,289
324,4609,0,149,81791,1291,289
325,15350,0,298,71050,1142,289
326,0,0,67,86400,1373,289
327,6950,0,140,79450,1300,289
328,0,0,15,86400,1425,289
329,0,0,0,86400,1440,289
330,7601,0,280,78799,1160,289
331,4017,0,96,82383,1344,289
332,47603,160,853,38797,587,129
333,3953,0,75,82447,1365,289
334,70379,237,1182,16021,258,52
335,0,0,0,86400,1440,289
336,0,0,36,86400,1404,289
337,51909,138,1003,34491,437,151
338,56792,190,947,29608,493,99
339,0,0,0,86400,1440,289
340,15343,0,436,71057,1004,289
341,32124,117,596,54276,844,172
342,30743,112,553,55657,887,177
343,51853,177,871,34547,569,112
344,13935,0,295,72465,1145,289
345,0,0,0,86400,1440,289
346,30459,105,653,55941,787,184
347,0,0,0,86400,1440,289
