"Trial","X1.Second.Residency","X1.Minute.Residency","X5.Minute.Residency","X1.Hour.Visits..1.Second.","X1.Hour.Visits..1.Minute.","X1.Hour.Visits..5.Minutes.","X2.Hour.Visits..1.Second.","X2.Hour.Visits..1.Minute.","X2.Hour.Visits..5.Minutes.","half.Hour.Visits..1.Second.","half.Hour.Visits..1.Minute.","half.Hour.Visits..5.Minutes."
1,0.999687503616856,0.863289382373352,0.865051903114187,1,1,1,1,1,1,1,1,2
2,0.77729424427958,0.537820957668286,0.536332179930796,2,2,2,2,2,2,3,3,3
3,0.0883323109686231,0.0624566273421235,0.0761245674740484,3,3,3,3,2,2,4,3,3
4,0.198087985092765,0.147120055517002,0.155709342560554,2,2,2,2,2,2,2,2,2
5,0.39815511394544,0.307425399028452,0.314878892733564,6,6,7,4,4,4,7,8,8
6,0.210379509496418,0.144344205412908,0.117647058823529,2,2,3,2,2,2,2,4,6
7,0.417599333341049,0.323386537126995,0.359861591695502,3,3,3,2,2,2,5,6,4
8,0.355215796113471,0.338653712699514,0.332179930795848,3,3,2,3,3,2,3,3,3
9,0.638036596798648,0.443442054129077,0.439446366782007,2,2,3,2,2,2,3,4,4
10,0.43246027245055,0.354614850798057,0.339100346020761,5,6,6,2,2,3,6,7,6
11,0.952755176444717,0.736988202637058,0.716262975778547,1,1,2,1,1,1,2,2,3
12,0.449427668661242,0.25676613462873,0.238754325259516,5,6,6,3,3,3,7,6,11
13,0.657538685894839,0.530187369882026,0.522491349480969,3,3,3,3,3,3,3,3,5
14,0.5956759759725,0.45176960444136,0.470588235294118,3,3,3,3,3,3,3,3,3
15,0.381708545039988,0.312977099236641,0.318339100346021,3,3,3,3,3,3,3,3,3
16,0.857675258388213,0.605135322692575,0.570934256055363,2,2,2,1,1,2,2,2,5
17,0.430990382055763,0.344899375433727,0.356401384083045,4,4,4,3,3,3,4,5,5
18,0.65084894850754,0.494795281054823,0.525951557093426,2,2,2,2,2,2,2,2,2
19,0.935336396569484,0.786259541984733,0.799307958477509,1,1,2,1,1,1,2,2,2
20,0.751310748718186,0.59264399722415,0.591695501730104,2,2,2,2,2,2,3,4,2
21,0.506707098297473,0.405968077723803,0.401384083044983,3,3,3,3,3,3,3,3,3
22,0.820846980937721,0.509368494101319,0.456747404844291,2,2,3,2,2,2,2,2,5
23,0.0799412043842085,0.0534351145038168,0.0519031141868512,2,2,2,2,2,2,2,2,2
24,0.486070763069872,0.404580152671756,0.422145328719723,3,3,3,3,3,3,3,3,3
25,0.210367935556301,0.1852879944483,0.190311418685121,2,3,3,2,2,2,3,3,3
26,0.805025404798556,0.634975711311589,0.640138408304498,2,2,2,2,2,2,2,2,3
27,0.193226930243863,0.128383067314365,0.117647058823529,4,4,4,3,4,4,4,4,4
28,0.401384243237925,0.289382373351839,0.269896193771626,2,2,2,2,2,2,2,2,2
29,0.580710871401951,0.350451075641915,0.41522491349481,4,4,5,3,3,3,4,6,7
30,0.981944653418363,0.879944482997918,0.903114186851211,1,1,1,1,1,1,1,1,2
31,0.401372669297809,0.373351839000694,0.384083044982699,2,2,2,2,2,2,2,2,2
32,0.839376859064131,0.679389312977099,0.70242214532872,2,2,2,2,2,2,2,2,2
33,0.964352264441384,0.795975017349063,0.85121107266436,1,1,1,1,1,1,1,1,3
34,0.308954757468085,0.274809160305344,0.283737024221453,3,3,3,3,3,3,4,3,4
35,0.676056990081133,0.518390006939625,0.532871972318339,4,4,3,2,2,3,4,4,4
36,0.98640062036319,0.693268563497571,0.70242214532872,1,1,1,1,1,1,1,1,1
37,0.985602018495156,0.886884108258154,0.875432525951557,1,1,1,1,1,1,1,1,2
38,0.216768324440689,0.157529493407356,0.162629757785467,2,2,2,2,2,2,2,2,2
39,0.954769042024977,0.826509368494101,0.799307958477509,1,1,2,1,1,1,2,2,2
40,0.805523084223562,0.649548924358085,0.653979238754325,2,2,3,1,1,2,3,4,5
41,0.324278654182243,0.203331020124913,0.204152249134948,2,3,3,2,2,2,3,3,4
42,0.805719841205542,0.530187369882026,0.550173010380623,2,2,2,2,2,2,3,3,5
43,0.280644899943288,0.240804996530187,0.231833910034602,2,2,2,2,2,2,2,2,2
44,0.518026411731346,0.380985426786954,0.387543252595156,3,3,4,2,2,2,6,8,5
45,0.344590919086585,0.1852879944483,0.197231833910035,5,6,6,4,4,4,7,7,9
46,0.797745396465319,0.596807772380291,0.581314878892734,1,1,4,1,1,1,4,4,6
47,0.328329533222995,0.245662734212353,0.256055363321799,3,3,2,3,3,2,3,3,2
48,1,0.913254684247051,0.910034602076125,1,1,1,1,1,1,1,1,1
49,0.960347681161098,0.821651630811936,0.85121107266436,1,1,1,1,1,1,1,2,2
50,0.185657573407715,0.139486467730743,0.1280276816609,2,2,2,2,2,2,2,2,2
51,0.99418988206155,0.85912560721721,0.86159169550173,1,1,1,1,1,1,1,1,1
52,0.382692329949885,0.333795975017349,0.328719723183391,2,2,2,2,2,2,2,2,2
