Iteration,Blue_Path_Total_Gaps_Sum,Positions_1_Min_Total_Gaps_Sum,Positions_5_Min_Total_Gaps_Sum,Blue_Path_Residency_Time,Positions_1_Min_Residency_Time,Positions_5_Min_Residency_Time
188,54628,176,1009,31772,431,113
189,0,0,114,86400,1326,289
190,3817,0,75,82583,1365,289
191,6234,40,195,80166,1245,249
192,38971,138,837,47429,603,151
193,2726,0,94,83674,1346,289
194,27689,97,493,58711,947,192
195,16485,68,450,69915,990,221
196,54488,182,947,31912,493,107
197,0,0,31,86400,1409,289
198,12018,42,269,74382,1171,247
199,18073,37,426,68327,1014,252
200,26858,95,507,59542,933,194
201,15486,42,359,70914,1081,247
202,21358,82,449,65042,991,207
203,18507,41,372,67893,1068,248
204,31833,121,619,54567,821,168
205,0,0,0,86400,1440,289
206,0,0,68,86400,1372,289
207,50465,174,855,35935,585,115
208,0,0,0,86400,1440,289
209,63965,214,1105,22435,335,75
210,10271,0,253,76129,1187,289
211,21516,59,393,64884,1047,230
212,65026,221,1089,21374,351,68
213,41009,136,848,45391,592,153
214,38036,127,634,48364,806,162
215,70471,237,1182,15929,258,52
216,68594,235,1163,17806,277,54
217,59356,194,1129,27044,311,95
218,0,0,7,86400,1433,289
219,57538,194,977,28862,463,95
220,52567,176,907,33833,533,113
221,38506,129,723,47894,717,160
222,0,0,12,86400,1428,289
223,82647,280,1391,3753,49,9
224,52199,175,899,34201,541,114
225,4999,0,148,81401,1292,289
226,33659,116,567,52741,873,173
227,0,0,6,86400,1434,289
228,43824,147,756,42576,684,142
229,67030,225,1128,19370,312,64
230,39362,141,683,47038,757,148
231,4634,0,180,81766,1260,289
232,68049,229,1148,18351,292,60
233,34434,95,612,51966,828,194
234,47994,150,839,38406,601,139
235,30138,108,719,56262,721,181
236,21272,35,502,65128,938,254
237,2635,0,98,83765,1342,289
238,21557,60,436,64843,1004,229
239,21746,84,447,64654,993,205
240,35243,121,591,51157,849,168
241,57190,199,993,29210,447,90
242,4014,0,97,82386,1343,289
243,30989,106,544,55411,896,183
244,80878,270,1351,5522,89,19
245,3429,0,127,82971,1313,289
246,6711,0,263,79689,1177,289
247,13425,54,289,72975,1151,235
248,36960,107,828,49440,612,182
249,3084,0,88,83316,1352,289
