"Trial","Curious_1_Min","Curious_5_Min","Aggressive_1_Min","Aggressive_5_Min"
316,5,1,4,1
317,0,0,4,1
318,6,2,4,1
319,2,1,4,1
320,6,2,4,1
321,7,1,3,1
322,0,0,4,1
323,7,2,4,1
324,4,1,3,1
325,0,0,4,1
326,10,2,3,0
327,6,2,4,1
328,0,0,3,1
329,6,2,3,1
330,5,1,3,1
331,9,2,3,1
332,9,2,3,1
333,10,2,8,1
334,7,1,4,0
335,5,1,4,1
336,9,2,3,1
337,0,0,4,1
338,0,0,3,1
339,8,2,4,1
340,12,2,3,0
341,7,2,4,1
342,7,2,4,1
343,0,0,4,1
344,9,2,4,1
345,10,2,4,1
346,0,0,4,1
347,4,1,2,1
348,5,1,4,1
349,3,1,8,1
350,10,2,3,0
351,0,0,3,0
352,9,2,4,1
353,7,2,3,1
354,6,2,4,0
355,5,1,1,0
356,0,0,3,0
357,6,1,4,0
358,5,1,3,1
359,9,2,4,1
360,14,4,3,0
361,10,2,5,1
362,11,2,3,1
363,0,0,3,1
364,0,0,4,1
365,6,1,4,0
366,0,0,3,1
367,7,2,2,1
368,8,1,2,0
369,4,1,1,0
370,2,1,4,1
371,5,1,3,0
372,8,1,4,1
373,8,2,4,1
374,5,1,4,1
375,10,2,7,1
376,9,2,2,0
377,7,1,8,2
378,0,0,2,0
379,8,1,3,1
380,5,1,4,0
381,8,2,0,0
382,0,0,4,1
383,8,2,3,0
384,0,0,4,1
385,3,0,4,0
386,4,1,4,1
387,10,2,3,1
388,11,3,4,1
389,7,2,4,1
390,7,2,4,1
391,10,2,4,1
392,8,2,3,1
393,6,2,7,1
394,0,0,4,0
395,0,0,4,1
396,0,0,3,1
397,10,2,3,1
398,10,2,3,0
399,5,1,3,0
400,6,2,3,0
401,9,2,7,2
402,3,1,4,0
403,9,2,4,1
404,0,0,4,1
405,8,2,3,0
406,9,1,4,1
407,9,2,4,1
408,0,0,8,1
409,9,1,4,1
410,0,0,3,1
411,3,1,3,0
412,0,0,3,0
413,0,0,0,0
414,10,2,3,1
415,8,2,3,1
416,4,1,8,2
417,0,0,3,1
418,7,1,2,1
419,0,0,4,0
420,5,2,4,1
421,8,2,4,1
422,9,2,4,1
423,0,0,4,1
424,4,1,8,2
425,4,0,5,1
426,6,2,4,1
427,6,2,4,1
428,1,0,2,0
429,1,0,4,1
430,9,2,1,0
431,4,1,6,1
432,8,1,4,1
433,6,2,7,1
434,0,0,3,1
435,0,0,4,0
436,6,1,4,1
437,9,1,3,1
438,0,0,3,1
439,8,2,3,1
440,14,3,5,2
441,0,0,3,0
442,4,0,4,1
443,10,2,4,1
444,0,0,0,0
445,9,2,7,1
446,0,0,3,1
447,9,2,4,1
448,0,0,0,0
449,8,2,3,1
450,6,2,7,1
451,9,2,4,1
452,0,0,6,1
453,5,1,4,0
454,10,2,2,0
455,7,2,4,0
456,0,0,4,1
457,7,1,3,0
458,6,2,4,1
459,7,2,4,1
460,8,2,4,1
461,6,2,4,1
462,2,0,3,1
463,4,1,4,1
464,5,1,4,1
465,6,2,3,1
466,0,0,4,0
467,0,0,3,0
468,7,1,0,0
469,8,2,5,1
470,13,3,3,1
471,0,0,2,1
472,4,1,2,1
473,1,0,2,1
474,6,1,4,0
475,5,1,6,1
476,13,3,3,1
477,9,2,3,0
478,4,1,4,1
479,5,1,3,1
480,0,0,4,0
481,11,3,2,1
482,11,2,2,1
483,8,2,4,1
484,9,2,4,0
485,8,2,2,1
486,5,1,4,1
487,7,2,4,1
488,7,2,3,1
489,2,1,2,0
490,7,1,3,1
491,11,2,0,0
492,8,2,3,1
493,0,0,4,1
494,2,0,4,1
495,9,2,2,1
496,0,0,3,1
497,6,2,4,0
498,7,2,4,1
499,9,2,3,1
500,0,0,3,1
501,0,0,3,0
502,8,2,4,1
503,10,2,3,1
504,0,0,3,1
505,9,2,4,1
506,10,2,3,1
507,7,1,0,0
508,5,1,7,2
509,8,1,0,0
510,3,1,4,1
511,8,1,3,0
512,7,2,4,1
513,5,1,4,1
514,7,1,4,1
515,7,2,4,0
516,6,2,4,1
517,9,2,3,1
518,7,2,4,0
519,0,0,0,0
520,10,2,4,1
521,10,2,4,1
522,7,2,6,1
523,0,0,3,1
524,5,1,4,1
525,12,2,4,1
526,9,2,4,1
527,9,2,2,1
528,9,2,4,1
529,8,2,3,1
530,3,1,4,0
531,5,1,3,1
532,11,3,0,0
533,10,2,4,1
534,8,2,3,1
535,7,1,3,1
536,13,3,4,0
537,0,0,4,1
538,0,0,4,1
539,0,0,3,0
540,0,0,4,0
541,6,2,5,0
542,4,1,3,1
543,2,1,3,0
544,6,2,0,0
545,9,2,3,1
546,6,2,4,1
547,4,1,4,0
548,6,2,6,1
549,12,2,6,2
550,1,0,4,1
551,9,2,4,0
552,6,2,4,1
553,5,1,4,1
554,8,1,2,1
555,0,0,3,1
556,9,2,3,1
557,7,1,4,1
558,8,2,4,0
559,0,0,0,0
560,7,2,2,1
561,6,2,2,1
562,9,2,3,1
563,9,2,4,1
564,5,1,4,0
565,8,2,3,1
566,5,1,3,1
567,10,2,3,0
568,10,2,4,1
569,11,2,2,1
570,0,0,3,1
571,5,1,4,1
572,0,0,3,1
573,9,2,3,1
574,3,1,4,1
575,8,1,4,1
576,9,2,3,1
577,7,2,4,1
578,8,2,2,1
579,0,0,3,1
580,0,0,2,1
581,6,1,4,1
582,0,0,4,0
583,10,2,4,0
584,4,1,4,1
585,7,1,3,0
586,7,2,5,2
587,7,2,7,1
588,10,2,2,1
589,5,1,4,1
590,4,1,4,1
591,4,1,3,0
592,8,1,7,2
593,8,1,2,1
594,5,1,4,0
595,0,0,3,1
596,7,2,4,0
597,4,1,3,1
