"Trial","X1.Second.Residency","X1.Minute.Residency","X5.Minute.Residency","X1.Hour.Visits..1.Second.","X1.Hour.Visits..1.Minute.","X1.Hour.Visits..5.Minutes.","X1.Hour.Total.Time..1.Second.","X1.Hour.Total.Time..1.Minute.","X1.Hour.Total.Time..5.Minutes.","X2.Hour.Visits..1.Second.","X2.Hour.Visits..1.Minute.","X2.Hour.Visits..5.Minutes.","X2.Hour.Total.Time..1.Second.","X2.Hour.Total.Time..1.Minute.","X2.Hour.Total.Time..5.Minutes.","Half.Hour.Visits..1.Second.","Half.Hour.Visits..1.Minute.","Half.Hour.Visits..5.Minutes.","Half.Hour.Total.Time..1.Second.","Half.Hour.Total.Time..1.Minute.","Half.Hour.Total.Time..5.Minutes."
42,1,0.9382373351839,0.941176470588235,1,1,1,86401,81120,81600,1,1,1,86401,81120,81600,1,1,1,86401,81120,81600
43,1,0.811936155447606,0.788927335640138,1,1,1,86401,70200,68400,1,1,1,86401,70200,68400,1,1,1,86401,70200,68400
44,1,0.794587092297016,0.764705882352941,1,1,1,86401,68700,66300,1,1,1,86401,68700,66300,1,1,1,86401,68700,66300
45,1,0.968077723802915,0.972318339100346,1,1,1,86401,83700,84300,1,1,1,86401,83700,84300,1,1,1,86401,83700,84300
46,0.951956574576683,0.670367800138792,0.657439446366782,1,1,1,82250,57960,57000,1,1,1,82250,57960,57000,1,1,2,82250,57960,57000
47,0.732792444531892,0.587092297015961,0.595155709342561,2,2,1,63314,50760,51600,1,2,1,63314,50760,51600,2,2,1,63314,50760,51600
48,1,0.986814712005552,0.98961937716263,1,1,1,86401,85320,85800,1,1,1,86401,85320,85800,1,1,1,86401,85320,85800
49,1,0.70853573907009,0.657439446366782,1,1,1,86401,61260,57000,1,1,1,86401,61260,57000,1,1,2,86401,61260,57000
50,0.997627342276131,0.757807078417765,0.802768166089965,1,1,1,86196,65520,69600,1,1,1,86196,65520,69600,1,1,1,86196,65520,69600
51,1,0.950034698126301,0.930795847750865,1,1,1,86401,82140,80700,1,1,1,86401,82140,80700,1,1,1,86401,82140,80700
52,1,0.891047883414296,0.896193771626298,1,1,1,86401,77040,77700,1,1,1,86401,77040,77700,1,1,1,86401,77040,77700
53,1,0.651630811936155,0.664359861591695,1,1,1,86401,56340,57600,1,1,1,86401,56340,57600,1,1,1,86401,56340,57600
54,0.58873161190264,0.460791117279667,0.44636678200692,2,2,2,50867,39840,38700,2,2,2,50867,39840,38700,2,3,3,50867,39840,38700
55,0.990740847906853,0.716863289382373,0.740484429065744,1,1,1,85601,61980,64200,1,1,1,85601,61980,64200,1,1,1,85601,61980,64200
56,1,0.812630117973629,0.809688581314879,1,1,1,86401,70260,70200,1,1,1,86401,70260,70200,1,1,2,86401,70260,70200
57,1,0.821651630811936,0.844290657439446,1,1,1,86401,71040,73200,1,1,1,86401,71040,73200,1,1,1,86401,71040,73200
58,0.842721727757781,0.652324774462179,0.626297577854671,1,1,1,72812,56400,54300,1,1,1,72812,56400,54300,1,1,1,72812,56400,54300
59,1,0.954892435808466,0.948096885813149,1,1,1,86401,82560,82200,1,1,1,86401,82560,82200,1,1,1,86401,82560,82200
60,1,0.959056210964608,0.961937716262976,1,1,1,86401,82920,83400,1,1,1,86401,82920,83400,1,1,1,86401,82920,83400
61,0.989432992673696,0.762664816099931,0.799307958477509,1,1,1,85488,65940,69300,1,1,1,85488,65940,69300,1,1,1,85488,65940,69300
62,0.66428629298272,0.519083969465649,0.515570934256055,1,1,1,57395,44880,44700,1,1,1,57395,44880,44700,1,1,2,57395,44880,44700
63,1,0.768216516308119,0.775086505190311,1,1,1,86401,66420,67200,1,1,1,86401,66420,67200,1,1,1,86401,66420,67200
64,1,0.981263011797363,0.975778546712803,1,1,1,86401,84840,84600,1,1,1,86401,84840,84600,1,1,1,86401,84840,84600
65,1,0.937543372657876,0.958477508650519,1,1,1,86401,81060,83100,1,1,1,86401,81060,83100,1,1,1,86401,81060,83100
66,1,0.8147120055517,0.771626297577855,1,1,1,86401,70440,66900,1,1,1,86401,70440,66900,1,1,1,86401,70440,66900
67,1,0.904927133934768,0.892733564013841,1,1,1,86401,78240,77400,1,1,1,86401,78240,77400,1,1,1,86401,78240,77400
68,1,1,1,1,1,1,86401,86460,86700,1,1,1,86401,86460,86700,1,1,1,86401,86460,86700
69,1,0.979875086745316,0.97923875432526,1,1,1,86401,84720,84900,1,1,1,86401,84720,84900,1,1,1,86401,84720,84900
70,0.477876413467437,0.354614850798057,0.349480968858132,1,1,1,41289,30660,30300,1,1,1,41289,30660,30300,1,2,3,41289,30660,30300
71,0.934688255922964,0.535045107564192,0.560553633217993,1,2,2,80758,46260,48600,1,1,1,80758,46260,48600,2,2,3,80758,46260,48600
72,0.213851691531348,0.139486467730743,0.141868512110727,1,1,1,18477,12060,12300,1,1,1,18477,12060,12300,1,1,1,18477,12060,12300
73,1,0.700902151283831,0.705882352941177,1,1,1,86401,60600,61200,1,1,1,86401,60600,61200,1,1,2,86401,60600,61200
74,1,0.987508674531575,0.996539792387543,1,1,1,86401,85380,86400,1,1,1,86401,85380,86400,1,1,1,86401,85380,86400
75,1,0.929909784871617,0.934256055363322,1,1,1,86401,80400,81000,1,1,1,86401,80400,81000,1,1,1,86401,80400,81000
76,1,0.943789035392089,0.965397923875433,1,1,1,86401,81600,83700,1,1,1,86401,81600,83700,1,1,1,86401,81600,83700
77,1,0.995142262317835,0.996539792387543,1,1,1,86401,86040,86400,1,1,1,86401,86040,86400,1,1,1,86401,86040,86400
78,0.968866101086793,0.778625954198473,0.785467128027682,1,1,1,83711,67320,68100,1,1,1,83711,67320,68100,1,2,2,83711,67320,68100
79,1,0.943095072866065,0.948096885813149,1,1,1,86401,81540,82200,1,1,1,86401,81540,82200,1,1,1,86401,81540,82200
80,0.993414428073749,0.754337265787647,0.802768166089965,1,1,1,85832,65220,69600,1,1,1,85832,65220,69600,1,1,3,85832,65220,69600
81,1,0.684247050659264,0.698961937716263,1,1,1,86401,59160,60600,1,1,1,86401,59160,60600,1,1,2,86401,59160,60600
82,0.994768579067372,0.642609299097849,0.640138408304498,1,1,1,85949,55560,55500,1,1,1,85949,55560,55500,1,1,2,85949,55560,55500
83,0.708811240610641,0.564191533657183,0.570934256055363,2,2,1,61242,48780,49500,2,2,1,61242,48780,49500,2,2,2,61242,48780,49500
84,1,0.818875780707842,0.84083044982699,1,1,1,86401,70800,72900,1,1,1,86401,70800,72900,1,1,1,86401,70800,72900
85,1,0.954198473282443,0.958477508650519,1,1,1,86401,82500,83100,1,1,1,86401,82500,83100,1,1,1,86401,82500,83100
86,1,0.932685634975711,0.930795847750865,1,1,1,86401,80640,80700,1,1,1,86401,80640,80700,1,1,1,86401,80640,80700
87,0.938727561023599,0.753643303261624,0.775086505190311,1,1,1,81107,65160,67200,1,1,1,81107,65160,67200,1,1,2,81107,65160,67200
88,0.927882779134501,0.839000693962526,0.844290657439446,2,2,2,80170,72540,73200,1,1,1,80170,72540,73200,2,2,2,80170,72540,73200
89,1,0.953504510756419,0.958477508650519,1,1,1,86401,82440,83100,1,1,1,86401,82440,83100,1,1,1,86401,82440,83100
90,0.97449103598338,0.690492713393477,0.71280276816609,1,1,1,84197,59700,61800,1,1,1,84197,59700,61800,1,2,1,84197,59700,61800
91,1,1,1,1,1,1,86401,86460,86700,1,1,1,86401,86460,86700,1,1,1,86401,86460,86700
92,1,0.933379597501735,0.941176470588235,1,1,1,86401,80700,81600,1,1,1,86401,80700,81600,1,1,1,86401,80700,81600
93,1,0.977793199167245,0.97923875432526,1,1,1,86401,84540,84900,1,1,1,86401,84540,84900,1,1,1,86401,84540,84900
94,1,0.84177654406662,0.830449826989619,1,1,1,86401,72780,72000,1,1,1,86401,72780,72000,1,1,2,86401,72780,72000
95,0.97861135866483,0.821651630811936,0.830449826989619,1,1,1,84553,71040,72000,1,1,1,84553,71040,72000,1,1,2,84553,71040,72000
96,1,0.767522553782096,0.737024221453287,1,1,1,86401,66360,63900,1,1,1,86401,66360,63900,1,1,2,86401,66360,63900
97,1,0.902151283830673,0.903114186851211,1,1,1,86401,78000,78300,1,1,1,86401,78000,78300,1,1,1,86401,78000,78300
98,1,0.845246356696738,0.837370242214533,1,1,1,86401,73080,72600,1,1,1,86401,73080,72600,1,1,1,86401,73080,72600
99,1,0.796668979875087,0.799307958477509,1,1,1,86401,68880,69300,1,1,1,86401,68880,69300,1,1,1,86401,68880,69300
100,1,0.929909784871617,0.961937716262976,1,1,1,86401,80400,83400,1,1,1,86401,80400,83400,1,1,1,86401,80400,83400
101,0.875302369185542,0.678695350451076,0.678200692041522,2,2,2,75627,58680,58800,1,2,2,75627,58680,58800,2,2,4,75627,58680,58800
102,1,0.911866759195003,0.923875432525952,1,1,1,86401,78840,80100,1,1,1,86401,78840,80100,1,1,1,86401,78840,80100
103,0.216490549877895,0.154753643303262,0.173010380622837,4,3,3,18705,13380,15000,3,3,3,18705,13380,15000,4,3,3,18705,13380,15000
104,0.868508466337195,0.618320610687023,0.58477508650519,1,1,2,75040,53460,50700,1,1,1,75040,53460,50700,1,1,2,75040,53460,50700
105,1,0.78764746703678,0.795847750865052,1,1,1,86401,68100,69000,1,1,1,86401,68100,69000,1,1,1,86401,68100,69000
106,1,0.993060374739764,0.993079584775087,1,1,1,86401,85860,86100,1,1,1,86401,85860,86100,1,1,1,86401,85860,86100
107,1,0.78764746703678,0.802768166089965,1,1,1,86401,68100,69600,1,1,1,86401,68100,69600,1,1,1,86401,68100,69600
108,1,0.990978487161693,0.982698961937716,1,1,1,86401,85680,85200,1,1,1,86401,85680,85200,1,1,1,86401,85680,85200
109,0.942500665501557,0.799444829979181,0.802768166089965,2,2,2,81433,69120,69600,1,1,1,81433,69120,69600,2,2,2,81433,69120,69600
110,0.715373664656659,0.545454545454545,0.570934256055363,2,3,3,61809,47160,49500,1,1,1,61809,47160,49500,3,3,3,61809,47160,49500
111,0.73870672793139,0.555170020818876,0.570934256055363,3,3,3,63825,48000,49500,3,3,3,63825,48000,49500,3,3,4,63825,48000,49500
112,0.983750188076527,0.714087439278279,0.709342560553633,1,1,1,84997,61740,61500,1,1,1,84997,61740,61500,1,1,2,84997,61740,61500
113,1,0.908396946564885,0.910034602076125,1,1,1,86401,78540,78900,1,1,1,86401,78540,78900,1,1,1,86401,78540,78900
114,1,0.845940319222762,0.844290657439446,1,1,1,86401,73140,73200,1,1,1,86401,73140,73200,1,1,1,86401,73140,73200
115,1,0.989590562109646,0.98961937716263,1,1,1,86401,85560,85800,1,1,1,86401,85560,85800,1,1,1,86401,85560,85800
116,0.999872686658719,0.910478834142956,0.913494809688581,1,1,1,86390,78720,79200,1,1,1,86390,78720,79200,1,1,1,86390,78720,79200
117,1,0.825121443442054,0.820069204152249,1,1,1,86401,71340,71100,1,1,1,86401,71340,71100,1,1,1,86401,71340,71100
118,1,0.873004857737682,0.882352941176471,1,1,1,86401,75480,76500,1,1,1,86401,75480,76500,1,1,1,86401,75480,76500
119,0.823809909607528,0.658570437196391,0.626297577854671,3,3,3,71178,56940,54300,1,1,2,71178,56940,54300,4,4,3,71178,56940,54300
120,0.854365111514913,0.596113809854268,0.598615916955017,1,1,1,73818,51540,51900,1,1,1,73818,51540,51900,1,1,1,73818,51540,51900
121,1,0.986814712005552,0.993079584775087,1,1,1,86401,85320,86100,1,1,1,86401,85320,86100,1,1,1,86401,85320,86100
122,1,0.835530881332408,0.802768166089965,1,1,1,86401,72240,69600,1,1,1,86401,72240,69600,1,1,1,86401,72240,69600
123,0.994444508744112,0.782789729354615,0.792387543252595,1,1,1,85921,67680,68700,1,1,1,85921,67680,68700,1,1,1,85921,67680,68700
124,0.743961296744251,0.510062456627342,0.477508650519031,3,3,3,64279,44100,41400,1,1,2,64279,44100,41400,5,4,7,64279,44100,41400
125,0.449925348086249,0.269951422623178,0.269896193771626,4,3,3,38874,23340,23400,3,3,2,38874,23340,23400,6,4,5,38874,23340,23400
126,0.937257670628812,0.669673837612769,0.688581314878893,1,1,2,80980,57900,59700,1,1,1,80980,57900,59700,2,2,2,80980,57900,59700
127,1,0.717557251908397,0.71280276816609,1,1,1,86401,62040,61800,1,1,1,86401,62040,61800,1,1,1,86401,62040,61800
128,1,0.980569049271339,0.97923875432526,1,1,1,86401,84780,84900,1,1,1,86401,84780,84900,1,1,1,86401,84780,84900
129,1,0.897293546148508,0.878892733564014,1,1,1,86401,77580,76200,1,1,1,86401,77580,76200,1,1,3,86401,77580,76200
130,1,0.854267869535045,0.830449826989619,1,1,1,86401,73860,72000,1,1,1,86401,73860,72000,1,1,3,86401,73860,72000
131,0.849041099061353,0.700902151283831,0.70242214532872,1,1,1,73358,60600,60900,1,1,1,73358,60600,60900,2,2,3,73358,60600,60900
132,0.742190483906436,0.603053435114504,0.595155709342561,1,1,1,64126,52140,51600,1,1,1,64126,52140,51600,1,1,2,64126,52140,51600
133,0.892350782977049,0.566967383761277,0.560553633217993,2,2,2,77100,49020,48600,1,1,2,77100,49020,48600,2,2,3,77100,49020,48600
134,0.595664402032384,0.405968077723803,0.404844290657439,2,2,2,51466,35100,35100,1,1,1,51466,35100,35100,2,2,2,51466,35100,35100
135,0.836344486753625,0.719639139486468,0.726643598615917,1,1,1,72261,62220,63000,1,1,1,72261,62220,63000,1,1,1,72261,62220,63000
136,1,0.768910478834143,0.785467128027682,1,1,1,86401,66480,68100,1,1,1,86401,66480,68100,1,1,1,86401,66480,68100
137,0.943634911632967,0.578070784177654,0.591695501730104,1,1,2,81531,49980,51300,1,1,1,81531,49980,51300,1,2,6,81531,49980,51300
138,1,0.971547536433033,0.955017301038062,1,1,1,86401,84000,82800,1,1,1,86401,84000,82800,1,1,1,86401,84000,82800
139,1,0.972241498959056,0.968858131487889,1,1,1,86401,84060,84000,1,1,1,86401,84060,84000,1,1,1,86401,84060,84000
140,0.863439080566197,0.676613462873005,0.698961937716263,1,1,1,74602,58500,60600,1,1,1,74602,58500,60600,1,1,1,74602,58500,60600
